id	Unnamed: 0	N_seqs	N_discarderd_singl	N_discarderd_len	N_discarded_quality	N_discarded_align	N_discarded_overl	av_gene_len	std_gene_len	N_unique_seqs	Nu_discarded_frame
pat3_day268	71	7273	781	3	47	75		410.9895503918603	0.1353333468814542	254.0	1.0
pat7_day1093	72	18244	3685	9	156	55		416.996491997369	0.0709256490954169	390.0	1.0
pat1_day1313	73	25916	4434	11	163	26		410.9860317950301	0.1393078592530652	707.0	33.0
pat3_day97	74	11528	963	8	125	24		410.9875954198473	0.1505328682855063	410.0	11.0
pat9_day862	75	41027	2486	24	213	1959		410.9853511102445	0.1505748215502954	980.0	36.0
pat8_day1359	76	31250	4591	20	298	51		413.990464	0.1163660805561483	972.0	19.0
pat6_day773	77	11428	3156	10	86	56		416.81869093454674	1.4102581706335595	476.0	1.0
pat6_day1448	78	9535	2649	141	100	16		415.47110644992136	2.704766517018426	379.0	1.0
pat2_day4002	79	10229	5822	10	139	134		411.2584807899111	1.2239893966694222	1095.0	3.0
pat5_day863	80	54880	8854	26	390	1187		410.9928024781341	0.1022841340359858	1657.0	29.0
pat6_day2457	81	9372	4334	10	109	25		416.8260776781904	1.033813028799609	794.0	0.0
pat2_day4173	82	3579	4228	863	79	23		411.0407935177424	0.8698553136409249	608.0	98.0
pat9_day189	83	19853	1555	16	108	376		410.9856948572004	0.1627623423457563	650.0	20.0
pat7_day402	84	2146	1567	5	48	7		417.0	0.0431732891776345	149.0	0.0
pat10_day1229	85	32253	2038	18	266	76		410.98713297987786	0.16849309482599	855.0	23.0
pat2_day4656	86	0	210	1488	2186	476616				0.0	
pat6_day434	87	21271	6145	7	154	194		415.3183207183489	4.109998806480919	1158.0	14.0
pat7_day772	88	24835	4600	10	171	19		416.993154821824	0.0894778985615329	850.0	9.0
pat1_day4015	89	27006	12390	13	232	19		410.7473154113901	0.9107323826640392	1519.0	837.0
pat2_day1469	90	31975	8144	29	204	38		408.0107271305708	0.2974649521980954	1389.0	10.0
pat7_day50	91	5738	1112	50	82	109		416.9808295573371	0.260670252826817	287.0	9.0
pat6_day1785	92	17108	4216	10	171	38		416.5740589198036	1.8928382206655685	905.0	10.0
pat5_day521	93	47674	2878	16	271	40		410.9875823299912	0.1518058943596576	1028.0	42.0
pat1_day2314	94	21052	17688	15	190	19		410.995534866046	0.0694637166665684	2927.0	24.0
pat2_day3834	95	13219	3432	9	167	70		411.1391179363038	0.9696647877880764	487.0	135.0
pat6_day3122	96	5129	2564	7	70	10		416.9961006044063	0.1309279776297223	506.0	0.0
pat1_day3830	97	16287	14839	15	146	24		409.5222570147971	2.622450102587687	1895.0	83.0
pat4_day1266	98	12477	3415	14	185	252		410.8179850925703	0.387101085711738	607.0	182.0
pat8_day1112	99	44590	3073	16	254	257		413.9870150257905	0.1497161626373354	1029.0	39.0
pat2_day2542	100	21386	5066	14	189	75		414.6460301131581	2.8900197178787885	577.0	285.0
pat1_day1961	101	35202	6904	14	191	30		410.9872734503721	0.1321009862956045	1225.0	61.0
pat5_day361	102	29821	2176	23	153	239		410.9860165655076	0.1524608847478943	866.0	24.0
pat1_day2468	103	24531	11070	19341	215	47		410.9903387550447	0.1038790051005884	3148.0	88.0
pat7_day584	104	11793	2006	10	104	37		417.44484015941663	0.5109144144116504	166.0	145.0
pat1_day4498	105	52421	11905	26	337	55		410.994486942256	0.0811732144985423	2144.0	27.0
