0	0	
0	0	
0	0	
0	0	
0	12	
0	12	
0	0	
2	2	
2	0	
0	2	
0	0	
0	0	
0	0	
8	0	
8	0	
0	0	
0	6	
2	6	
2	0	
2	0	
2	0	
0	0	
0	0	
0	24	
0	24	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
2	0	
2	0	
14	0	
14	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	2	
0	2	
0	0	
0	0	
0	0	
0	0	
0	0	
6	0	
6	14	
0	36	
2	48	
2	2	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
36	0	
32	0	
4	0	
0	0	
0	0	
0	0	
0	0	
0	10	
0	10	
0	4	
0	4	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	2	
0	2	
0	4	
0	4	
0	0	
8	0	
8	0	
0	0	
0	0	
0	0	
2	0	
2	0	
0	8	
0	8	
2	0	
2	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	4	
0	4	
0	2	
0	10	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
6	0	
106	0	
112	0	
2	0	
2	0	
0	2	
0	2	
0	0	
0	0	
2	26	
2	26	
0	0	
0	0	
0	2	
0	22	
0	20	
2	44	
2	6	
0	54	
4	0	
4	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	10	
0	10	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
18	0	
2	0	
16	0	
0	2	
0	2	
0	0	
0	0	
8	0	
8	0	
0	0	
0	2	
0	2	
0	0	
0	0	
0	16	
2	20	
4	14	
4	22	
2	86	
0	26	
0	92	
0	12	
0	0	
0	0	
0	42	
6	30	
6	12	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	142	
0	446	
0	32	
0	274	
0	194	
0	296	
0	190	
0	254	
0	322	
0	226	
0	212	
0	122	
0	314	
0	50	
0	70	
0	114	
0	90	
0	208	
4	186	
2	74	
2	0	
0	4	
0	4	
0	0	
0	0	
0	0	
0	0	
24	4	
24	4	
0	0	
0	0	
0	0	
12	0	
0	8	
12	8	
0	0	
0	0	
98	0	
40	0	
10	0	
16	0	
46	0	
82	0	
14	0	
6	2	
2	2	
12	0	
36	0	
26	4	
0	4	
0	0	
4	0	
4	0	
0	0	
0	0	
0	0	
