161.26	131.7	
172.86	136.46	
161.44	138.52	
153.44	128.68	
164.1	139	
153.12	137.54	
147.28	136.34	
150.4	134.48	
152.16	148.96	
142.86	161.46	
146.92	140.82	
160.34	140.18	
154.48	133.14	
154.56	135.42	
145.3	119.9	
147.52	141.06	
160.52	148.88	
149.66	138.46	
140.6	137.6	
144.18	151.34	
153.74	153.72	
138.08	119.48	
157.84	134.88	
148.76	140.7	
135.8	146.7	
141.12	146.8	
145.4	148.52	
152.3	146.64	
141.26	145.96	
148.46	137.54	
156.54	137.18	
164.74	155.42	
149.8	153.92	
162.78	156.4	
153.84	154.48	
149.78	154.4	
155.22	147.1	
141.44	139.14	
151.54	132.46	
158.82	136.88	
137.46	144.04	
150.14	142.38	
151.2	133.74	
143.24	142.28	
150.56	127.54	
142.12	158.02	
157.96	139.24	
149.48	148.92	
149.72	152.24	
136.18	138.88	
139.18	146.78	
148.6	146.46	
152.34	143.88	
155.4	146.08	
142.86	134.94	
147.06	134.52	
151.62	132.76	
149.96	140.1	
155.84	132.84	
149.04	150.44	
149.76	133.48	
152.2	134	
146.94	138.64	
138.32	144.18	
144.62	154.76	
139.38	139.88	
137.12	152.34	
145.2	148.54	
132.5	138.66	
146.7	147.18	
139.06	139.16	
149.6	142.8	
131.96	139.38	
135.04	148.8	
132.52	157.82	
133.66	132.56	
147.78	153.14	
144.14	151.12	
142.66	148.08	
144.24	127.64	
138.54	156.54	
148.72	155	
133.4	143.02	
144.26	151.34	
152.02	158.74	
135.06	165	
144.96	135.86	
149.9	146.46	
140.94	163.66	
152.8	151.64	
139.38	149.44	
139.26	150.02	
144.88	138.74	
139.52	144.5	
137.54	182.2	
150.28	160.04	
139.7	153	
147.02	156.64	
136.32	148.04	
138.5	143.38	
126.8	158.92	
137.48	153.14	
134.98	139.92	
136.32	146.62	
133.74	146.4	
152.08	145.34	
130.18	149.46	
140.96	156.82	
135.74	156.42	
142.2	148.36	
141.78	144.26	
142.82	152.64	
128.82	142.1	
141.8	153.74	
161.18	145.78	
166.9	152.44	
163.92	144.42	
167.92	148.38	
174.34	139.3	
145.9	134.04	
160.74	139.82	
163.42	157.08	
164.42	145.96	
146.42	143.74	
173.84	141.64	
159.32	144.82	
170.42	135.6	
149.8	140.7	
155.78	137.92	
151.96	126.28	
159.98	154.98	
148.32	141.08	
143.32	158.62	
150.06	157.24	
146.54	159.62	
138.38	164.86	
167.12	162.14	
153.74	147.84	
140.96	161.14	
142.88	151.58	
138.82	139.2	
136.4	158.32	
141.48	159.86	
126.5	154.46	
142.54	165.86	
135.14	156.4	
143.5	153.34	
147.86	146.36	
139.98	152.82	
161.26	143.2	
147.94	138.46	
144.02	136.68	
157.64	136.54	
149.64	136.42	
163.46	142.22	
157.74	139.66	
149.34	140.8	
152.88	130.9	
160.36	151.62	
158.3	135.58	
145.4	151.32	
160.38	153.84	
162.3	136.92	
157.8	147.56	
157.26	141.42	
160.78	142.24	
150.34	144.12	
158.02	128.32	
149.08	137.08	
153.9	154.2	
155.22	144.72	
144	141.7	
158.84	141.7	
154.68	144.22	
145.88	132.24	
154.3	155.22	
149.94	124.6	
150.34	132.86	
165.56	144.38	
157.08	137.16	
154.86	142.44	
157.64	138.3	
146.78	149.88	
152.14	133.2	
153.02	128.04	
